track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Rich & Sad,Post Malone,beerbongs & bentleys,2018-05-01,1,82,0.19,0.6,0.06,151,4,0.27,0.59,0.09,0.0
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,2015-08-28,1,48,0.12,0.7,0.05,107,4,0.59,0.77,0.1,0.0
The Winds Farewell,Panopticon,Autumn Eternal,2018-05-03,1,17,0.0,0.28,0.06,135,4,0.2,0.78,0.11,0.91
Earned It (Fifty Shades Of Grey),The Weeknd,Beauty Behind The Madness,2015-09-03,1,8,0.44,0.48,0.04,119,3,0.37,0.28,0.08,0.0
Tamarack's Gold Returns,Panopticon,Autumn Eternal,2018-05-03,1,32,0.62,0.29,0.08,129,4,0.45,0.53,0.73,0.66
D is for Dangerous,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,59,0.0,0.56,0.04,145,4,0.77,0.92,0.07,0.0
505,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,70,0.0,0.53,0.06,140,4,0.25,0.87,0.09,0.0
Showtime,Iceage,Beyondless,2018-05-04,1,34,0.04,0.25,0.06,150,4,0.36,0.7,0.14,0.0
Take it all,Iceage,Beyondless,2018-05-04,1,37,0.0,0.4,0.04,112,4,0.35,0.71,0.16,0.42
The Chain - Remastered,Fleetwood Mac,Rumours,2017-10-22,1,67,0.05,0.52,0.05,151,4,0.64,0.76,0.08,0.0
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,67,0.0,0.42,0.19,165,4,0.46,0.97,0.09,0.0
Teddy Picker,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,66,0.0,0.64,0.09,150,4,0.82,0.96,0.04,0.0
Balaclava,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,59,0.0,0.41,0.09,137,4,0.76,0.81,0.33,0.0
Only Ones Who Know,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,60,0.9,0.29,0.03,128,5,0.1,0.4,0.1,0.0
Hurrah,Iceage,Beyondless,2018-05-04,1,44,0.0,0.14,0.08,156,4,0.09,0.96,0.37,0.0
Oh Daddy - 2004 Remastered Edition,Fleetwood Mac,Rumours,2017-10-22,1,53,0.52,0.58,0.04,137,4,0.47,0.35,0.13,0.0
Old Yellow Bricks,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,1,65,0.0,0.66,0.07,135,4,0.76,0.84,0.08,0.0
I Don't Want To Know - 2004 Remastered Edition,Fleetwood Mac,Rumours,2017-10-22,1,56,0.07,0.72,0.03,139,4,0.94,0.69,0.07,0.01
Airbag (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,1,52,0.01,0.32,0.05,167,4,0.63,0.94,0.13,0.82
Subterranean Homesick Alien (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,1,52,0.03,0.33,0.03,149,3,0.26,0.64,0.11,0.01
Fitter Happier (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,1,48,0.84,0.43,0.23,127,4,0.69,0.37,0.12,0.0
Electioneering (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,1,49,0.0,0.2,0.06,78,4,0.44,0.95,0.27,0.11
Climbing Up the Walls (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,1,49,0.09,0.27,0.04,66,4,0.23,0.63,0.18,0.48
NYC Observation,Parquet Courts,Wide Awake!,2018-05-24,1,47,0.29,0.74,0.11,160,4,0.93,0.88,0.07,0.0
Lucky (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,1,50,0.1,0.23,0.03,131,4,0.15,0.45,0.11,0.6
Why Don't You Call Me,James Blake,James Blake,2018-07-19,1,30,0.99,0.47,0.05,95,3,0.1,0.1,0.1,0.84
Better Now,Post Malone,beerbongs & bentleys,2018-05-01,1,95,0.35,0.68,0.05,145,4,0.37,0.56,0.14,0.0
Bug Thief,Iglooghost,Neō Wax Bloom,2017-10-04,1,34,0.01,0.47,0.05,93,4,0.49,0.81,0.32,0.57
CASH,BROCKHAMPTON,SATURATION,2017-06-09,1,54,0.18,0.61,0.05,75,4,0.4,0.8,0.32,0.03
Takin' Shots,Post Malone,beerbongs & bentleys,2018-05-01,1,79,0.6,0.77,0.08,120,4,0.58,0.62,0.41,0.0
Something Good,alt-J,An Awesome Wave,2017-09-21,1,56,0.73,0.68,0.03,108,4,0.52,0.59,0.08,0.5
New Born,Muse,Origin Of Symmetry,2015-06-06,1,59,0.0,0.24,0.09,150,4,0.19,0.93,0.11,0.3
Diplomat’s Son,Vampire Weekend,Contra,2018-07-25,1,47,0.2,0.5,0.33,193,4,0.84,0.82,0.08,0.06
Oxford Comma,Vampire Weekend,Vampire Weekend,2018-07-25,1,58,0.11,0.69,0.05,119,4,0.97,0.72,0.04,0.0
I Think Ur A Contra,Vampire Weekend,Contra,2018-07-25,1,42,0.92,0.36,0.04,140,3,0.17,0.32,0.08,0.07
Cape Cod Kwassa Kwassa,Vampire Weekend,Vampire Weekend,2018-07-25,1,52,0.84,0.85,0.04,105,4,0.75,0.52,0.13,0.07
Runnin’,Blood Orange,Negro Swan,2018-08-24,1,60,0.41,0.63,0.11,179,4,0.39,0.41,0.15,0.0
Freaking Out the Neighborhood,Mac DeMarco,2,2017-11-29,1,65,0.06,0.56,0.11,143,4,0.85,0.83,0.39,0.03
Sprawl II (Mountains Beyond Mountains),Arcade Fire,The Suburbs,2017-06-28,1,17,0.02,0.52,0.03,99,4,0.2,0.8,0.14,0.0
Annie,Mac DeMarco,2,2017-11-29,1,50,0.1,0.56,0.04,94,4,0.56,0.74,0.14,0.46
Ode to Viceroy,Mac DeMarco,2,2017-11-29,1,64,0.21,0.51,0.05,94,4,0.31,0.63,0.12,0.01
Bad Habit,Foals,Holy Fire,2018-07-25,1,48,0.01,0.57,0.05,121,4,0.43,0.85,0.12,0.46
Dreaming,Mac DeMarco,2,2017-11-29,1,56,0.01,0.46,0.06,163,4,0.14,0.57,0.14,0.09
Not Abel,Hop Along,"Bark Your Head Off, Dog",2018-04-30,1,44,0.29,0.47,0.04,120,3,0.46,0.52,0.08,0.0
Prelude,Foals,Holy Fire,2018-07-25,1,44,0.09,0.5,0.05,95,4,0.09,0.66,0.1,0.64
